Dataset,Cores,Subproblems,Time Seq[s],Time Parallel [s],Time Search [s],Improvement,,speedup,total-exectime,avg. exc.time,total exec. Seq,avg. exec. Time seq.
ISISFISIMATE,8,1000,494,458,2917,7%,"3,079,125",108%,3375,"4107,5",3411,"4,957"
,,2000,801,517,3043,35%,,155%,3560,,3844,
,,3000,1414,1141,2936,19%,,124%,4077,,4350,
,,4000,1699,1351,4302,20%,,126%,5653,,6001,
,,5000,2004,980,2867,51%,,204%,3847,,4871,
,,6000,2658,1124,2668,58%,,236%,3792,,5326,
,,7000,2606,1274,2989,51%,,205%,4263,,5595,
,,8000,3343,1382,2911,59%,,242%,4293,,6254,
,16,1000,571,592,2711,-4%,"2571,5",96%,3303,"3,311,875",3282,"4,886"
,,2000,1047,620,2599,41%,,169%,3219,,3646,
,,3000,1741,652,2644,63%,,267%,3296,,4385,
,,4000,2092,681,2413,67%,,307%,3094,,4505,
,,5000,2468,745,2466,70%,,331%,3211,,4934,
,,6000,3273,802,2595,75%,,408%,3397,,5868,
,,7000,3209,890,2586,72%,,361%,3476,,5795,
,,8000,4117,941,2558,77%,,438%,3499,,6675,
,32,1000,,1039,7000,,7000,0%,8039,,7000,
,64,OOM,,,,,,,,,,
ALL,16,16,1128,N/A,Timeout,,,,,,,
,,3200,N/A,,,,,,,,,
,,,,,,,,,,,,
,,,"1,155,870,445","1,231,493,275",,,,,,,,
,,,"1,307,116,105",,,,,,,,,